,id,obs_time,satisfaction,sex,age_marriage,cohab,income,hw_all
1,1,14,6.7,female,32,1,39110.4,0
2,1,78,5.2,female,32,1,39110.4,0
3,1,163,5.2,female,32,1,39110.4,0
4,21,119,6.6,female,33,1,40704,0
5,21,161,6.7,female,33,1,40704,0
6,21,202,5.8,female,33,1,40704,0
7,21,210,5.2,female,33,1,40704,0
8,21,231,4.6,female,33,1,40704,0
9,21,246,5.4,female,33,1,40704,0
10,21,274,5.4,female,33,1,40704,0
11,21,293,4.9,female,33,1,40704,0
12,21,325,3.6,female,33,1,40704,0
13,21,331,4.4,female,33,1,40704,0
14,23,63,6.6,female,32,1,92140.8,0
15,23,97,6.3,female,32,1,92140.8,0
16,23,114,7.2,female,32,1,92140.8,0
17,23,142,5.2,female,32,1,92140.8,0
18,23,157,5.2,female,32,1,92140.8,0
19,23,172,5,female,32,1,92140.8,0
20,23,213,4.7,female,32,1,92140.8,0
21,23,227,5.4,female,32,1,92140.8,0
22,23,262,3.2,female,32,1,92140.8,0
23,23,327,3.3,female,32,1,92140.8,0
24,28,45,9,female,30,1,34790.4,0
25,28,52,9.1,female,30,1,34790.4,0
26,28,113,9,female,30,1,34790.4,0
27,28,121,7.9,female,30,1,34790.4,0
28,28,181,8.2,female,30,1,34790.4,0
29,28,261,6.8,female,30,1,34790.4,0
30,32,29,7.5,female,25,1,74092.8,0
31,32,41,5.6,female,25,1,74092.8,0
32,32,47,7.1,female,25,1,74092.8,0
33,32,137,6.7,female,25,1,74092.8,0
34,32,213,6.5,female,25,1,74092.8,0
35,32,265,6.7,female,25,1,74092.8,0
36,32,336,4.5,female,25,1,74092.8,0
37,34,7,9.5,female,33,1,9427.2,0
38,34,20,7.8,female,33,1,9427.2,0
39,34,87,6.2,female,33,1,9427.2,0
40,34,196,5.1,female,33,1,9427.2,0
41,34,225,5.6,female,33,1,9427.2,0
42,34,231,5.7,female,33,1,9427.2,0
43,34,246,5.6,female,33,1,9427.2,0
44,34,258,6.7,female,33,1,9427.2,0
45,37,14,6.1,female,29,1,98534.4,1
46,37,66,6.2,female,29,1,98534.4,1
47,37,89,7.4,female,29,1,98534.4,1
48,37,122,4.9,female,29,1,98534.4,1
49,37,146,7.2,female,29,1,98534.4,1
50,37,173,5.1,female,29,1,98534.4,1
51,37,196,5.2,female,29,1,98534.4,1
52,37,216,4.4,female,29,1,98534.4,1
53,37,268,5.7,female,29,1,98534.4,1
54,37,270,5.7,female,29,1,98534.4,1
55,42,19,6.3,female,27,1,9158.4,1
56,42,23,6.4,female,27,1,9158.4,1
57,42,126,6.1,female,27,1,9158.4,1
58,42,132,6.4,female,27,1,9158.4,1
59,42,234,6.1,female,27,1,9158.4,1
60,42,248,5.2,female,27,1,9158.4,1
61,42,256,5.1,female,27,1,9158.4,1
62,42,264,4.3,female,27,1,9158.4,1
63,42,290,4.3,female,27,1,9158.4,1
64,42,347,4.2,female,27,1,9158.4,1
65,42,385,1.9,female,27,1,9158.4,1
66,45,143,4.9,female,21,1,27936,0
67,45,162,6.5,female,21,1,27936,0
68,45,165,6.2,female,21,1,27936,0
69,45,180,4.9,female,21,1,27936,0
70,45,213,5,female,21,1,27936,0
71,45,235,5,female,21,1,27936,0
72,45,396,2,female,21,1,27936,0
73,55,7,6.3,female,24,0,47923.2,0
74,55,55,6.5,female,24,0,47923.2,0
75,55,153,7.6,female,24,0,47923.2,0
76,55,157,6.9,female,24,0,47923.2,0
77,55,218,5.8,female,24,0,47923.2,0
78,55,302,4.4,female,24,0,47923.2,0
79,55,324,4.5,female,24,0,47923.2,0
80,55,346,3.3,female,24,0,47923.2,0
81,59,64,8.6,female,32,1,45331.2,1
82,59,93,8,female,32,1,45331.2,1
83,59,115,7.2,female,32,1,45331.2,1
84,59,127,8.2,female,32,1,45331.2,1
85,59,131,9.2,female,32,1,45331.2,1
86,59,233,6.8,female,32,1,45331.2,1
87,59,245,6.8,female,32,1,45331.2,1
88,59,318,6.2,female,32,1,45331.2,1
89,59,371,6.3,female,32,1,45331.2,1
90,61,146,6.1,female,35,1,24537.6,1
91,61,218,4.9,female,35,1,24537.6,1
92,61,398,2.5,female,35,1,24537.6,1
93,65,72,6.4,female,35,1,34387.2,0
94,65,123,7.4,female,35,1,34387.2,0
95,65,230,5.8,female,35,1,34387.2,0
96,65,287,5.3,female,35,1,34387.2,0
97,65,302,4.7,female,35,1,34387.2,0
98,72,10,6.8,female,21,1,10214.4,1
99,72,101,7.1,female,21,1,10214.4,1
100,72,257,6,female,21,1,10214.4,1
101,83,41,7,female,31,1,7411.2,0
102,83,54,5.4,female,31,1,7411.2,0
103,83,115,5.6,female,31,1,7411.2,0
104,83,144,4.6,female,31,1,7411.2,0
105,83,165,6.3,female,31,1,7411.2,0
106,83,249,3.4,female,31,1,7411.2,0
107,83,276,5,female,31,1,7411.2,0
108,83,278,3.7,female,31,1,7411.2,0
109,83,283,4.3,female,31,1,7411.2,0
110,83,353,3.8,female,31,1,7411.2,0
111,91,73,5.6,female,21,0,27129.6,1
112,91,156,4.7,female,21,0,27129.6,1
